firstName lastName age numberOfAccidents isInsurable baseInsurance ageSurcharge accidentSurcharge totalInsuranceCost 
Amman Patton 42 7 false NaN NaN NaN NaN
Kezia Gaines 64 0 true 500.0 100.0 0.0 600.0 
Layla-Rose Coles 18 4 true 500.0 0.0 375.0 875.0 
Nayan Barclay 28 3 true 500.0 100.0 225.0 825.0 
Giulia Downes 69 3 true 500.0 100.0 225.0 825.0 
Isobel Sierra 66 7 false NaN NaN NaN NaN
Teejay Harrell 48 6 false NaN NaN NaN NaN
Rico Powers 54 3 true 500.0 100.0 225.0 825.0 
Olivia-Rose Cuevas 20 3 true 500.0 0.0 225.0 725.0 
Pheobe Alford 44 6 false NaN NaN NaN NaN
Oriana Cairns 27 6 false NaN NaN NaN NaN
Hayleigh Kline 16 2 true 500.0 0.0 125.0 625.0 
Kimberley Hibbert 40 6 false NaN NaN NaN NaN
Anas Firth 45 5 true 500.0 100.0 575.0 1175.0 
Monika Carney 67 6 false NaN NaN NaN NaN
Ben Britt 60 0 true 500.0 100.0 0.0 600.0 
Esmee Mcloughlin 55 4 true 500.0 100.0 375.0 975.0 
Marcia Gates 28 2 true 500.0 100.0 125.0 725.0 
Fynn Sparrow 48 3 true 500.0 100.0 225.0 825.0 
Rhia Ryan 38 2 true 500.0 100.0 125.0 725.0 
Emilio Huffman 37 5 true 500.0 100.0 575.0 1175.0 
Mack Hamilton 44 2 true 500.0 100.0 125.0 725.0 
Emma-Louise Horn 42 3 true 500.0 100.0 225.0 825.0 
Boris Ramos 45 6 false NaN NaN NaN NaN
Taybah Ahmad 65 4 true 500.0 100.0 375.0 975.0 
Jessie Steele 31 6 false NaN NaN NaN NaN
Walid Gross 30 2 true 500.0 100.0 125.0 725.0 
Allana Byrd 28 6 false NaN NaN NaN NaN
Fredrick Campos 47 1 true 500.0 100.0 50.0 650.0 
Zacharias Merrill 46 1 true 500.0 100.0 50.0 650.0 
Wesley Burris 39 5 true 500.0 100.0 575.0 1175.0 
Mathew Orozco 30 0 true 500.0 100.0 0.0 600.0 
Esme-Rose Bowen 47 2 true 500.0 100.0 125.0 725.0 
Cathy Carey 48 0 true 500.0 100.0 0.0 600.0 
Arwen Adkins 33 2 true 500.0 100.0 125.0 725.0 
Jia Maguire 35 3 true 500.0 100.0 225.0 825.0 
Virgil Arias 62 5 true 500.0 100.0 575.0 1175.0 
Nia Forbes 25 2 true 500.0 100.0 125.0 725.0 
Darci Schwartz 45 6 false NaN NaN NaN NaN
Tarik Dougherty 69 1 true 500.0 100.0 50.0 650.0 
Aayat Welsh 68 7 false NaN NaN NaN NaN
Rihanna Irwin 32 4 true 500.0 100.0 375.0 975.0 
Taya Brooks 62 1 true 500.0 100.0 50.0 650.0 
Henley Mason 40 6 false NaN NaN NaN NaN
Awais Evans 52 7 false NaN NaN NaN NaN
Sophia Sadler 22 4 true 500.0 0.0 375.0 875.0 
Theodore Wharton 34 7 false NaN NaN NaN NaN
Bertie Lucas 24 2 true 500.0 0.0 125.0 625.0 
Georgiana Goldsmith 20 2 true 500.0 0.0 125.0 625.0 
Milosz Bailey 27 4 true 500.0 100.0 375.0 975.0 
Lisa-Marie Blackburn 70 2 true 500.0 100.0 125.0 725.0 
Rajan Cross 18 7 false NaN NaN NaN NaN
Andreas Rawlings 55 3 true 500.0 100.0 225.0 825.0 
Joni Milne 59 3 true 500.0 100.0 225.0 825.0 
Sofie Hicks 25 1 true 500.0 100.0 50.0 650.0 
Linda Calhoun 68 1 true 500.0 100.0 50.0 650.0 
Haaris Valencia 69 7 false NaN NaN NaN NaN
Tony Simon 23 4 true 500.0 0.0 375.0 875.0 
Zeshan Henderson 66 3 true 500.0 100.0 225.0 825.0 
Thalia Cisneros 65 7 false NaN NaN NaN NaN
Harvir Naylor 30 3 true 500.0 100.0 225.0 825.0 
Reginald Finnegan 50 0 true 500.0 100.0 0.0 600.0 
Leigh West 30 2 true 500.0 100.0 125.0 725.0 
Morgan Ellis 17 3 true 500.0 0.0 225.0 725.0 
Leopold Acosta 68 2 true 500.0 100.0 125.0 725.0 
Ishmael Crosby 52 4 true 500.0 100.0 375.0 975.0 
Lacy Herbert 66 4 true 500.0 100.0 375.0 975.0 
Danyaal Rodriguez 50 5 true 500.0 100.0 575.0 1175.0 
Katharine Jarvis 47 7 false NaN NaN NaN NaN
King Lu 54 2 true 500.0 100.0 125.0 725.0 
Hayley Hays 61 3 true 500.0 100.0 225.0 825.0 
Maureen Greig 47 2 true 500.0 100.0 125.0 725.0 
Zayd Currie 43 2 true 500.0 100.0 125.0 725.0 
Efan Acevedo 16 0 true 500.0 0.0 0.0 500.0 
Mariah Levine 22 5 true 500.0 0.0 575.0 1075.0 
Edith Blundell 33 7 false NaN NaN NaN NaN
Evie-May Carter 60 1 true 500.0 100.0 50.0 650.0 
Hira Odonnell 63 6 false NaN NaN NaN NaN
Ivie Terrell 29 3 true 500.0 100.0 225.0 825.0 
Britany Dean 42 4 true 500.0 100.0 375.0 975.0 
Lubna Gilmore 67 3 true 500.0 100.0 225.0 825.0 
Valentina Howe 30 5 true 500.0 100.0 575.0 1175.0 
Chandni Findlay 25 4 true 500.0 100.0 375.0 975.0 
Tanisha Mcmanus 58 0 true 500.0 100.0 0.0 600.0 
Nabeel Curran 20 5 true 500.0 0.0 575.0 1075.0 
Trent Donnelly 20 4 true 500.0 0.0 375.0 875.0 
Lorenzo Logan 46 6 false NaN NaN NaN NaN
Tania Oakley 58 1 true 500.0 100.0 50.0 650.0 
Briana Partridge 17 1 true 500.0 0.0 50.0 550.0 
Ivo Ortega 30 5 true 500.0 100.0 575.0 1175.0 
Sahib Dunlap 53 2 true 500.0 100.0 125.0 725.0 
Joy Morgan 26 1 true 500.0 100.0 50.0 650.0 
Misbah Montoya 40 1 true 500.0 100.0 50.0 650.0 
Harris Cano 65 2 true 500.0 100.0 125.0 725.0 
Hailie Burks 54 4 true 500.0 100.0 375.0 975.0 
Savanna Bassett 19 5 true 500.0 0.0 575.0 1075.0 
Joanne Charles 69 3 true 500.0 100.0 225.0 825.0 
Murray Cannon 34 1 true 500.0 100.0 50.0 650.0 
Mathilda Bowes 25 3 true 500.0 100.0 225.0 825.0 
Alvin Lam 62 2 true 500.0 100.0 125.0 725.0 
Lina Magana 40 0 true 500.0 100.0 0.0 600.0 
John Wilcox 22 3 true 500.0 0.0 225.0 725.0 
Kamran Potter 19 1 true 500.0 0.0 50.0 550.0 
Lilah Fellows 34 4 true 500.0 100.0 375.0 975.0 
Wiktor Battle 44 1 true 500.0 100.0 50.0 650.0 
Tyrone Pena 24 1 true 500.0 0.0 50.0 550.0 
Sahra Figueroa 68 5 true 500.0 100.0 575.0 1175.0 
Amanpreet Stevens 69 4 true 500.0 100.0 375.0 975.0 
Eric Cleveland 24 7 false NaN NaN NaN NaN
Katarina Baird 60 3 true 500.0 100.0 225.0 825.0 
Haleemah Broadhurst 55 6 false NaN NaN NaN NaN
Amelia-Grace Soto 36 3 true 500.0 100.0 225.0 825.0 
Jacqueline Short 54 7 false NaN NaN NaN NaN
Iman Grainger 61 3 true 500.0 100.0 225.0 825.0 
Muna Hope 41 7 false NaN NaN NaN NaN
Cairo Braun 21 6 false NaN NaN NaN NaN
Selina Powers 49 2 true 500.0 100.0 125.0 725.0 
Cayden Perkins 45 4 true 500.0 100.0 375.0 975.0 
Hamish Cooley 66 2 true 500.0 100.0 125.0 725.0 
Shakira Dunkley 68 5 true 500.0 100.0 575.0 1175.0 
Berat Yates 44 7 false NaN NaN NaN NaN
Teejay Hull 26 4 true 500.0 100.0 375.0 975.0 
Dylon Ward 50 7 false NaN NaN NaN NaN
Shiloh Holland 57 6 false NaN NaN NaN NaN
Isadora Medina 60 5 true 500.0 100.0 575.0 1175.0 
Mert Cain 65 2 true 500.0 100.0 125.0 725.0 
Austen Drew 48 7 false NaN NaN NaN NaN
Harri Hoffman 46 7 false NaN NaN NaN NaN
Lavinia Ramos 25 7 false NaN NaN NaN NaN
Ronny Knight 48 4 true 500.0 100.0 375.0 975.0 
Jobe Dorsey 66 2 true 500.0 100.0 125.0 725.0 
Bailey Bryan 61 7 false NaN NaN NaN NaN
Teodor Arnold 18 6 false NaN NaN NaN NaN
Cordelia Cross 40 3 true 500.0 100.0 225.0 825.0 
Geoffrey Rios 30 7 false NaN NaN NaN NaN
Cindy Lacey 42 3 true 500.0 100.0 225.0 825.0 
Gareth Marriott 20 5 true 500.0 0.0 575.0 1075.0 
Kajetan Britt 56 4 true 500.0 100.0 375.0 975.0 
Adnaan Robles 54 7 false NaN NaN NaN NaN
Cienna Weber 33 7 false NaN NaN NaN NaN
Wilf Peck 32 4 true 500.0 100.0 375.0 975.0 
Marta Church 61 7 false NaN NaN NaN NaN
Darla Milner 52 0 true 500.0 100.0 0.0 600.0 
Tomas Marquez 43 7 false NaN NaN NaN NaN
Olive Leblanc 45 7 false NaN NaN NaN NaN
Neil Wardle 63 5 true 500.0 100.0 575.0 1175.0 
Lacy Hassan 54 3 true 500.0 100.0 225.0 825.0 
Hanna Sheppard 18 1 true 500.0 0.0 50.0 550.0 
Ava-Mai Higgins 65 6 false NaN NaN NaN NaN
Alina Best 65 0 true 500.0 100.0 0.0 600.0 
Siana Conley 40 5 true 500.0 100.0 575.0 1175.0 
Lily-Grace Morin 40 2 true 500.0 100.0 125.0 725.0 
Avi Mason 39 1 true 500.0 100.0 50.0 650.0 
Velma Duarte 47 2 true 500.0 100.0 125.0 725.0 
